category,code
小売業,2726
卸売業,2729
小売業,2730
卸売業,2733
小売業,2734
小売業,2735
小売業,2736
卸売業,2737
小売業,2742
卸売業,2743
小売業,2747
サービス業,2749
卸売業,2750
卸売業,2751
小売業,2752
小売業,2753
小売業,2754
卸売業,2760
卸売業,2761
小売業,2762
卸売業,2763
小売業,2764
卸売業,2767
卸売業,2768
小売業,2769
機械,2773
卸売業,2776
卸売業,2777
小売業,2778
小売業,2780
小売業,2782
卸売業,2784
卸売業,2788
小売業,2789
小売業,2790
小売業,2791
小売業,2792
卸売業,2795
小売業,2796
小売業,2798
食料品,2801
食料品,2802
食料品,2804
食料品,2805
食料品,2806
食料品,2809
食料品,2810
食料品,2811
食料品,2812
食料品,2813
食料品,2814
食料品,2815
食料品,2816
食料品,2818
食料品,2819
食料品,2820
食料品,2830
食料品,2831
食料品,2871
食料品,2872
卸売業,2874
食料品,2875
食料品,2876
食料品,2877
食料品,2882
食料品,2883
食料品,2884
食料品,2892
食料品,2894
食料品,2897
食料品,2899
食料品,2901
食料品,2903
食料品,2904
食料品,2905
食料品,2907
食料品,2908
食料品,2910
食料品,2911
食料品,2914
食料品,2915
食料品,2916
食料品,2917
食料品,2918
食料品,2922
食料品,2923
食料品,2924
食料品,2925
食料品,2926
食料品,2927
食料品,2929
化学,2930
食料品,2931
食料品,2932
食料品,2933
食料品,2934
金属製品,2961
不動産業,2970
不動産業,2975
不動産業,2977
不動産業,2978
不動産業,2980
不動産業,2981
不動産業,2982
不動産業,2983
不動産業,2985
不動産業,2986
不動産業,2987
不動産業,2990
不動産業,2991
不動産業,2992
不動産業,2993
不動産業,2994
不動産業,2995
不動産業,2997
不動産業,2998
繊維製品,3001
繊維製品,3002
不動産業,3003
卸売業,3004
サービス業,3010
小売業,3011
小売業,3020
サービス業,3021
卸売業,3023
卸売業,3024
小売業,3028
小売業,3030
情報・通信業,3031
小売業,3034
卸売業,3035
卸売業,3036
卸売業,3038
小売業,3039
情報・通信業,3040
卸売業,3041
情報・通信業,3042
卸売業,3045
小売業,3046
小売業,3048
小売業,3050
小売業,3053
卸売業,3054
小売業,3058
小売業,3059
小売業,3063
小売業,3064
小売業,3065
小売業,3067
小売業,3068
小売業,3069
卸売業,3070
小売業,3071
小売業,3073
小売業,3075
卸売業,3076
小売業,3077
卸売業,3079
小売業,3080
小売業,3082
小売業,3083
小売業,3085
小売業,3086
小売業,3087
小売業,3088
卸売業,3089
小売業,3091
小売業,3092
小売業,3093
小売業,3094
小売業,3096
小売業,3097
小売業,3099
繊維製品,3101
繊維製品,3103
繊維製品,3104
電気機器,3105
繊維製品,3106
卸売業,3107
繊維製品,3109
ガラス・土石製品,3110
繊維製品,3111
証券、商品先物取引業,3113
輸送用機器,3116
サービス業,3121
繊維製品,3123
卸売業,3131
卸売業,3132
小売業,3133
小売業,3134
小売業,3135
小売業,3137
小売業,3138
卸売業,3139
卸売業,3140
小売業,3141
卸売業,3143
小売業,3148
卸売業,3150
卸売業,3151
卸売業,3153
卸売業,3154
卸売業,3156
卸売業,3157
小売業,3159
卸売業,3160
卸売業,3161
卸売業,3166
卸売業,3167
卸売業,3168
小売業,3169
小売業,3172
卸売業,3173
小売業,3174
小売業,3175
卸売業,3176
小売業,3177
小売業,3178
小売業,3179
卸売業,3180
小売業,3181
小売業,3182
卸売業,3183
小売業,3184
小売業,3185
小売業,3186
小売業,3187
小売業,3189
小売業,3190
小売業,3191
小売業,3192
小売業,3193
小売業,3195
小売業,3196
小売業,3197
小売業,3198
小売業,3199
繊維製品,3201
繊維製品,3202
繊維製品,3204
繊維製品,3205
小売業,3221
小売業,3222
小売業,3223
小売業,3224
不動産業,3228
不動産業,3231
不動産業,3232
不動産業,3236
不動産業,3237
不動産業,3238
不動産業,3241
不動産業,3242
不動産業,3244
不動産業,3245
不動産業,3246
不動産業,3248
不動産業,3252
不動産業,3254
不動産業,3261
不動産業,3264
不動産業,3266
建設業,3267
不動産業,3271
不動産業,3275
不動産業,3276
不動産業,3277
不動産業,3280
不動産業,3284
